Year,Month,Period,Number
2007,7,1,5
2007,8,2,4
2007,9,3,4
2007,10,4,6
2007,11,5,6
2007,12,6,8
2008,1,7,8
2008,2,8,6
2008,3,9,7
2008,4,10,3
2008,5,11,4
2008,6,12,9
2008,7,13,7
2008,8,14,7
2008,9,15,8
2008,10,16,3
2008,11,17,6
2008,12,18,2
2009,1,19,5
2009,2,20,3
2009,3,21,5
2009,4,22,7
2009,5,23,7
2009,6,24,9
2009,7,25,8
2009,8,26,9
2009,9,27,8
2009,10,28,3
2009,11,29,10
2009,12,30,10
2010,1,31,5
2010,2,32,3
2010,3,33,11
2010,4,34,2
2010,5,35,15
2010,6,36,6
2010,7,37,7
2010,8,38,8
2010,9,39,8
2010,10,40,8
2010,11,41,7
2010,12,42,8
2011,1,43,6
2011,2,44,1
2011,3,45,5
2011,4,46,2
2011,5,47,4
2011,6,48,3
2011,7,49,6
2011,8,50,7
2011,9,51,9
2011,10,52,5
2011,11,53,6
2011,12,54,7
2012,1,55,14
2012,2,56,5
2012,3,57,7
2012,4,58,4
2012,5,59,5
2012,6,60,6