school.id,school.name,teachers.n,teachers.ftte
1,Te Kao School,3,2.4
2,Taipa Area School,36,32.24
3,Kaitaia College,73,66.74
4,Whangaroa College,13,12.4
5,Kerikeri High School,105,92.46
6,Broadwood Area School,14,12.2
7,Okaihau College,38,36.9
8,Bay of Islands College,31,30.5
9,Northland College,28,25.85
10,Te Kura Taumata o Panguru,11,9.2
11,Opononi Area School,20,19
12,Tauraroa Area School,39,34.43
13,Kamo High School,93,90.51
14,Tikipunga High School,42,39.48
15,Whangarei Boys' High School,76,67.88
16,Whangarei Girls' High School,79,75.68
17,Pompallier Catholic College,47,42.1
18,Mangakahia Area School,24,19.08
19,Dargaville High School,45,40.06
20,Bream Bay College,45,38.18
21,Otamatea High School,42,39.4
22,Ruawai College,20,17.15
23,Rodney College,34,29.9
24,Mahurangi College,87,82.52
25,Orewa College,120,112.64
26,Kaipara College,53,50.68
27,Long Bay College,102,98.2
28,Rangitoto College,197,190.34
30,Glenfield College,64,58.95
31,Birkenhead College,61,54.99
32,Northcote College,90,84.9
33,Hato Petera College,17,17
35,Carmel College,68,61.32
36,Takapuna Grammar School,112,100.23
37,Westlake Boys' High School,138,133.94
38,Westlake Girls' High School,152,144.42
39,Rosmini College,70,63.89
40,Rutherford College,98,94.24
41,Macleans College,165,153.68
42,Green Bay High School,85,79.44
43,Massey High School,155,151.85
44,Waitakere College,96,88.68
45,Henderson High School,57,50.66
46,Liston College,53,50.12
47,St Dominic's College (Henderson),66,60.92
48,Western Springs College,87,82.8
49,Selwyn College,70,62.48
50,St Mary's College (Ponsonby),65,58.19
51,St Paul's College (Ponsonby),26,22.6
53,Auckland Girls' Grammar School,102,92.97
54,Auckland Grammar,159,155.11
57,Tamaki College,58,54.52
58,Tangaroa College,71,67.88
59,Sacred Heart College (Auckland),90,80.63
61,Baradene College,78,67.92
62,St Peter's College (Epsom),96,84.54
63,Marcellin College,59,52.36
64,Epsom Girls' Grammar School,158,142.4
65,Glendowie College,69,64.13
69,Mt Albert Grammar School,156,149.13
70,Marist College,55,49.04
74,Mt Roskill Grammar,161,151.77
75,Lynfield College,130,122.55
77,Bethlehem College,116,102.97
78,Avondale College,175,169.42
79,Edgewater College,65,61
80,Pakuranga College,135,128.72
82,Aidanfield Christian School,17,12.57
83,Kelston Boys' High School,73,69.73
84,Kelston Girls' College,63,56.46
85,One Tree Hill College,59,55.52
86,Onehunga High School,98,93.61
87,Howick College,118,109.58
88,Otahuhu College,100,96.56
90,McAuley High School,49,47.07
91,Mangere College,66,62.04
93,Auckland Seventh-Day Adventist H S,27,26.52
94,De La Salle College,66,64.7
95,Papatoetoe High School,118,115.12
96,Aorere College,100,95.2
97,Sir Edmund Hillary Collegiate Senior Sch,44,43.53
99,Manurewa High School,124,119.78
100,James Cook High School,100,96.2
101,Papakura High School,70,69.72
102,Rosehill College,125,117.07
103,Pukekohe High School,106,99.1
104,Wesley College,31,28.35
105,Waiuku College,60,55.77
106,Tuakau College,53,49.58
108,Onewhero Area School,31,28.12
109,Coromandel Area School,28,21.79
110,Mercury Bay Area School,63,57.97
111,Thames High School,54,48.4
112,Hauraki Plains College,51,45.72
113,Paeroa College,29,27.61
114,Waihi College,51,50.24
115,Te Kauwhata College,37,35.88
116,Te Aroha College,34,30.1
117,Katikati College,66,62.99
118,Mt Maunganui College,99,87.68
119,Huntly College,28,27.6
120,Otumoetai College,135,122.08
121,Tauranga Boys' College,123,117.7
122,Tauranga Girls' College,104,96.61
123,Te Puke High School,78,75.18
124,Matamata College,63,59.52
125,Raglan Area School,36,32.45
126,Morrinsville College,56,48.9
127,Ngaruawahia High School,29,26.09
129,Fairfield College,76,73.04
131,Hamilton Boys' High School,140,125.94
132,Hamilton Girls' High School,111,100.95
133,Raphael House Rudolf Steiner Area School,39,32.19
134,Flaxmere College,33,30.4
135,Hamilton's Fraser High School,112,108.47
136,St John's College (Hillcrest),53,46.96
137,Melville High School,46,43.92
138,Hillcrest High School,114,106.35
139,Sacred Heart Girls' College (Ham),65,59.72
140,Waikato Diocesan School For Girls,73,63.19
142,Cambridge High School,87,83.46
143,Trident High School,86,82.04
144,Whakatane High School,65,56.59
145,Edgecumbe College,36,31.64
146,Te Awamutu College,80,77.29
147,Te Whanau-A-Apanui Area School,17,13.58
148,Opotiki College,47,44.14
149,Kawerau College,40,37.3
151,Western Heights High School,105,100.36
152,Rotorua Boys' High School,62,59.76
153,Rotorua Girls' High School,69,63.92
154,Rotorua Lakes High School,58,52.48
157,Otorohanga College,33,31.16
158,Tokoroa High School,39,37.06
159,Forest View High School,50,45.78
160,Te Kuiti High School,32,29.84
161,Benneydale School,2,1.3
162,Piopio College,21,20.04
164,Reporoa College,33,32.6
165,Rangitahi College,16,13.9
166,Tauhara College,56,46.51
167,Taupo-nui-a-Tia College,74,65.48
169,Taumarunui High School,43,38.87
170,Waitara High School,32,30.28
171,New Plymouth Boys' High School,89,81.63
172,New Plymouth Girls' High School,93,83.34
173,Spotswood College,79,73.73
174,Sacred Heart Girls' College (N Plymouth),55,48.09
175,Francis Douglas Memorial College,57,50.49
176,Ohura Valley Primary,2,2
177,Inglewood High School,35,32.55
179,Stratford High School,46,42.98
180,St Mary's Diocesan School (Stratford),18,16.04
181,Opunake High School,32,30.67
182,Hawera High School,64,58.54
183,Ruapehu College,23,20.86
185,Patea Area School,14,13
186,Waverley High School (Closed),.,
187,Wanganui City College,42,38.84
188,Wanganui Girls' College,38,32.52
189,Wanganui High School,133,115.96
190,Cullinane College,28,24.01
191,Longburn Adventist College,35,28.04
194,Turakina Maori Girls' College,12,11.8
195,Rangitikei College,35,29.8
196,Nga Tawa Diocesan School,32,29.34
197,Feilding High School,100,93.61
198,Awatapu College,65,57.44
199,Hato Paora College,20,18.74
200,Freyberg High School,113,103.62
201,Queen Elizabeth College,26,23.23
202,Palmerston North Boys' High School,119,112.13
203,Palmerston North Girls' High School,86,78.02
204,St Peter's College (Palmerston North),46,41.83
205,Manawatu College,44,35.03
206,Ngata Memorial College,19,18.2
207,Waikohu College,8,8
208,Lytton High School,70,60.36
209,Gisborne Boys' High School,59,55.95
210,Gisborne Girls' High School,76,67.28
211,Campion College,44,38.83
212,Tolaga Bay Area School,24,22.09
214,Wairoa College,51,47.89
215,Taradale High School,82,73.66
216,Napier Boys' High School,83,79.71
217,Napier Girls' High School,69,59.02
218,Tamatea High School,30,26.65
219,Sacred Heart College (Napier),37,29.06
220,William Colenso College,53,47.4
221,Te Wharekura o Ruatoki,18,17
222,St Joseph's Maori Girls' College,23,20.68
223,Havelock North High School,74,63.7
224,Iona College,32,28.6
225,Woodford House,37,33.02
226,St John's College (Hastings),43,38.22
227,Hastings Boys' High School,57,53
228,Hastings Girls' High School,60,54.24
229,Karamu High School,64,57.92
230,Lindisfarne College,48,45.96
231,Taikura Rudolf Steiner School,30,26.64
232,Te Aute College,12,11.7
233,Central Hawkes Bay College,49,42.95
234,Dannevirke High School,45,38.64
235,Tararua College,39,36.5
236,Horowhenua College,53,49.04
237,Waiopehu College,53,47.89
238,Kaitaia Abundant Life School,21,19.94
240,Otaki College,45,42.46
241,Wairarapa College,82,73.92
242,Solway College,19,14.48
243,Makoura College,45,35.35
244,Chanel College,38,31.17
245,Rathkeale College,41,36.56
246,St Matthew's Collegiate (Masterton),29,24.76
247,Kapiti College,86,74.68
248,Paraparaumu College,105,93.06
249,Kuranui College,44,37.94
250,Upper Hutt College,84,79.2
251,Heretaunga College,63,54.14
252,St Patrick's College (Silverstream),55,50.24
253,Aotea College,72,68.98
254,Mana College,41,37.54
255,Porirua College,54,49.81
256,Bishop Viard College,45,40.32
257,Tawa College,99,88.04
258,Taita College,54,46.68
259,Naenae College,61,56.1
260,St Bernard's College,46,42.63
261,Hutt Valley High School,113,104.56
262,Sacred Heart College (Lower Hutt),61,56.48
265,St Oran's College,44,35.16
266,Waipa Christian School,3,2.5
268,Newlands College,79,70.69
269,Onslow College,91,83.54
272,Wellington Girls' College,90,82.3
273,Wellington High School & Com Ed Centre,84,75.44
274,Wellington East Girls' College,91,75.38
275,Wellington College,105,92.9
276,St Patrick's College (Kilbirnie),57,54.81
277,Rongotai College,51,49.36
279,TKKM o Hoani Waititi,20,18.64
282,TKKM o Whakawatea,8,8
284,St Catherines College (Kilbirnie),29,25.07
286,St Mary's College (Wellington),50,43
287,Queen Charlotte College,35,32.4
288,Marlborough Boys' College,72,60.62
289,Marlborough Girls' College,81,66.89
290,Collingwood Area School,17,14.07
291,Rai Valley Area School,14,9.86
292,Golden Bay High School,33,28.88
293,Nayland College,107,86.69
294,Nelson College,81,74.87
295,Nelson College For Girls,86,70.61
296,Waimea College,105,96.19
297,Tapawera Area School,23,21.78
298,Motueka High School,54,44.34
299,Murchison Area School,16,14.26
300,Karamea Area School,15,10.24
301,Buller High School,32,31.5
303,Greymouth High School,51,46.5
304,John Paul II High School,19,15.99
305,Westland High School,37,33.14
306,South Westland Area School,13,11.1
307,Kaikoura High School,27,23.66
308,Amuri Area School,28,24.33
309,Cheviot Area School,19,16.94
310,Oxford Area School,42,36.14
311,Hurunui College,25,21.36
312,Rangiora High School,112,104.1
314,Kaiapoi High School,55,48.57
315,St Bedes College,64,59.41
316,Papanui High School,115,102.73
317,Christchurch Adventist School,22,18.43
319,Burnside High School,183,170.26
320,Mairehau High School,43,36.68
321,Shirley Boys' High School,93,87.66
323,Aranui High School,52,48.83
324,Avonside Girls' High School,86,75.76
326,Villa Maria College,61,52.27
327,Christchurch Boys' High School,100,88.23
328,Christchurch Girls' High School,88,77.2
329,Mangakino Area School,15,12.14
331,St Thomas of Canterbury College,43,40.8
334,Riccarton High School,81,69.78
335,Middleton Grange School,97,89.66
336,Hagley Community College,143,111.8
337,Linwood College,86,76.38
338,Hornby High School,42,37.52
339,Hillmorton High School,64,57.2
340,Cashmere High School,124,113.95
341,Hillview Christian School,31,28.93
343,Marian College,40,32.6
344,Westminster Christian School,12,11.63
346,Darfield High School,62,51.46
347,Lincoln High School,105,94.72
348,Mount Hutt College,41,36.11
349,Ellesmere College,42,38.97
350,Akaroa Area School,17,12.04
351,Ashburton College,85,78.78
352,Geraldine High School,54,49.64
353,Mackenzie College,23,18.91
354,Opihi College,34,29.96
357,Craighead Diocesan School,38,31.66
358,Roncalli College,44,40
359,Mountainview High School,47,43.03
360,Timaru Boys' High School,52,48.98
361,Timaru Girls' High School,35,32.16
362,Waimate High School,33,30.08
363,Waitaki Valley School,7,6.3
365,Waitaki Boys' High School,40,35.62
366,Waitaki Girls' High School,35,31.36
369,St Kevins College (Oamaru),35,32.1
370,Maniototo Area School,21,16
371,East Otago High School,23,19.64
372,Dunstan High School,47,41.22
373,Cromwell College,40,34.5
374,Wakatipu High School,65,52.47
375,Roxburgh Area School,19,15.4
376,Logan Park High School,51,43.78
377,Otago Boys' High School,67,60.16
378,Otago Girls' High School,63,56.76
380,St Hildas Collegiate,40,33.37
381,Kaikorai Valley College,58,50.8
382,Bayfield High School,64,54.42
383,Kings High School (Dunedin),55,50.36
384,Queens High School,56,44.92
386,Columba College,54,43.49
387,John McGlashan College,46,40.72
390,Lawrence Area School,16,12.6
391,Blue Mountain College,23,20.6
392,Tokomairiro High School,28,26
393,South Otago High School,40,39.52
394,The Catlins Area School,19,16.46
395,Northern Southland College,22,20.1
396,Gore High School,50,45.98
397,St Peter's College (Gore),37,33.46
398,Takitimu Primary School,6,5.5
399,Central Southland College,37,35.28
400,Fiordland College,24,20.96
401,Menzies College,29,26.6
402,Tuatapere Community College,17,15.4
404,Southland Boys' High School,73,66.57
405,Southland Girls' High School,84,76.66
408,Verdon College,49,42.93
409,Aparima College,24,21.28
418,Rangiora New Life School,33,29.8
419,Rudolf Steiner School (Chch),44,29.72
421,Richmond View School,6,6
422,Faith Academy,11,7.43
424,Michael Park School,35,31.83
428,Whangamata Area School,42,35.54
429,Excellere College,18,16
432,Kingsway School,78,73.01
435,Hukarere College,14,13.32
439,Totara College of Accelerated Learning,11,7.54
443,Hastings Christian School,23,16.79
452,Southern Cross Campus,108,104.84
453,Kadimah College,13,11.9
463,TKK Motuhake o Tawhiuau,13,10.86
465,Mana Tamariki,9,6.6
471,Zayed College for Girls,8,7.72
476,Tongariro School,43,41.28
478,Wainuiomata High School,68,63.9
482,Aquinas College,60,54.06
483,Unlimited Paenga Tawhiti,40,35.76
488,Nga Taiatea Wharekura,24,23.8
491,Sancta Maria College,68,62.32
494,Putaruru College,36,33.99
495,Taieri College,78,71.88
496,Reefton Area School,19,18
497,Te Kura o Hirangi,23,19.05
498,Te Aho o Te Kura Pounamu,355,318.99
503,Kelston Deaf Education Centre,91,84.5
514,Kimi Ora School,17,14.33
518,Kingslea School,29,26.34
519,Van Asch Deaf Education Centre,102,79.84
520,Hammersley Park School,11,10.2
522,Halswell Residential College,18,16.1
523,Carlson School (Cerebral Palsy),22,19
525,Salisbury School (Nelson),14,12.64
526,Forbury School,9,7.6
527,Twizel Area School,17,15.04
528,Ponatahi Christian School,11,8.8
530,Waiheke High School,38,34.4
531,Catholic Cathedral College,36,34
532,John Paul College,79,73.08
533,Mt Aspiring College,54,50.48
536,Kavanagh College,62,58.2
539,Waikato Waldorf School ( Rudolf Steiner),10,7.65
544,Al-Madinah School,32,32
545,Te Kura Toitu o Te Whaiti-nui-a-Toi,5,4.2
548,Aurora College,34,33.14
549,Taihape Area School,35,33.1
550,Te Waha O Rerekohu Area School,14,13.68
551,Coastal Taranaki School,29,23.01
552,James Hargest College,147,132.15
553,Mission Heights Junior College,38,37.12
556,Te Whanau o Tupuranga (Merged),.,
557,Holy Family School (Wanaka),7,6
558,TKKM o Te Kura Kokiri,18,16.5
559,Whanganui Awa School,1,1
563,Albany Senior High School,56,53.18
564,Ormiston Senior College,17,15.54
565,Stonefields School,11,11
566,Maraekakaho School,8,7.2
567,Te Wharekura o Te Kaokaoroa o Patetere,18,15.4
570,Mission Heights Primary School,25,23.2
577,Te Totara Primary School,23,21.38
589,Te Kura o Nga Ruahine Rangi,5,4.8
600,TKKM o Ngaringaomatariki,4,4
601,Kumeroa-Hopelands School,4,3.7
603,KingsGate School,4,3
607,Big Rock Primary School,6,5.68
618,Sancta Maria Catholic Primary School,14,12
624,Te Karaka Area School,17,17
630,Te Kura Maori o Nga Tapuwae,20,17.37
631,Kia Aroha College,32,32
632,Tai Wananga,5,4.7
633,Kingsview School,2,2
1000,Ahipara School,13,11.8
1001,Aranga School,3,2.6
1002,Arapohue School,3,2.3
1004,Awanui School,4,4
1007,Blomfield Special School & Resource Ctre,29,20.6
1008,Dargaville Intermediate,15,13.1
1009,Dargaville Primary School,22,19.5
1011,Glenbervie School,19,15.29
1013,Herekino School,3,2.4
1014,Hikurangi School,12,11.02
1015,Hora Hora School (Te Mai),21,18
1016,Horeke School,3,2.5
1017,Hukerenui School Years 1-8,10,8.2
1018,Hurupaki School,18,16.5
1019,Kaeo School,8,7.8
1020,Kaihu Valley School,3,2
1021,Kaikohe East School,18,17.4
1022,Kaikohe Intermediate,10,10
1023,Kaikohe West School,20,18.64
1024,Kaingaroa School (Kaitaia),8,7.2
1025,Kaitaia Intermediate,16,16
1026,Kaitaia School,22,17.9
1027,Kaiwaka School,6,5.5
1028,Totara Grove School,15,13.4
1029,Kamo Intermediate,35,31
1030,Kamo School,22,19.1
1031,Karetu School,4,3.66
1032,Kaurihohore School,12,10.32
1033,Kawakawa Primary School,17,17
1034,Kerikeri Primary School,29,27
1035,Kohukohu School,3,3
1036,Kokopu School,4,4
1037,Mangamuka School,2,1.4
1038,Mangawhai Beach School,16,14.6
1039,Mangonui School,10,9.4
1042,Matakohe School,8,5.7
1043,Matarau School,16,13.5
1044,Matauri Bay School,4,3.6
1046,Matihetihe School,3,2.6
1047,Maungakaramea School,5,5
1048,Maungatapere School,16,13.88
1049,Maungaturoto School,13,11.56
1050,Maunu School,14,14
1052,Morningside School,11,9.4
1053,Motatau School,3,2.4
1055,Ngataki School,2,2
1056,Ngunguru School,11,10.4
1057,Northland Health Camp School,3,2.6
1058,Ohaeawai School,9,9
1059,Okaihau School,11,9.8
1060,Omanaia School,4,4
1061,One Tree Point School,13,12
1062,Onerahi School,20,19.2
1063,Opua School,7,6.2
1065,Oromahoe School,6,4.1
1066,Oruaiti School,6,5.48
1068,Otaika Valley School,8,7
1069,Te Kura o Otangarei,9,9
1071,Oturu School,5,5
1072,Paihia School,10,10
1073,Pakaraka School,5,3.8
1074,Pakiri School,2,1.3
1075,Pakotai School,3,2.5
1076,Pamapuria School,10,9.6
1077,Paparoa School,3,2.8
1078,Paparore School,10,8.6
1080,Parua Bay School,12,10.8
1081,Peria School,4,4
1082,Pompallier School,12,9.75
1083,Poroti School,2,2
1084,Portland School,3,2.6
1085,Pouto School,1,1
1086,Pukenui School (Kaitaia),6,4.8
1087,Pukepoto School,3,3
1089,Purua School,2,1.4
1092,Raurimu Avenue School,10,10
1093,Rawene School,4,4
1094,Ruakaka School,9,8.4
1095,Ruawai Primary School,5,5
1096,Russell School (Bay Of Islands),6,5.1
1097,Selwyn Park School,9,8.5
1098,St Joseph's School (Dargaville),9,7.44
1100,Te Kura o Hato Hohepa Te Kamura,2,1.8
1102,Te Kura o Hata Maria (Pawarenga),3,3
1104,Tangiteroria School,4,3.5
1105,Tangowahine School,3,2.4
1106,Tapora School,3,2.5
1107,Tauhoa School,5,4.48
1109,Te Hapua School,3,2.4
1110,Te Horo School (Whangarei),3,2.5
1111,Te Kopuru School,8,8
1112,Te Tii School,2,1.2
1113,Tikipunga Primary School,13,12.2
1114,Tinopai School,2,1.6
1115,Tomarata School,9,7.2
1116,Totara North School,3,2.7
1119,Umawera School,3,2.8
1120,Waiharara School,3,2.2
1122,Waima School,4,4
1124,Waiotira School,2,1.4
1125,Waipu School,11,11
1126,Wellsford School,24,20.8
1127,Whananaki School,3,2.5
1128,Whangarei Heads School,9,6.8
1129,Whangarei Intermediate,32,32
1130,Whangarei School,28,27.3
1131,Whau Valley School,17,14.82
1136,New Life Christian School,5,4.6
1138,Christian Renewal School,19,14.14
1139,Lake Taupo Christian School,12,11.4
1141,TKKM o Rangiawhia,3,2.8
1142,TKKM o Takapau,3,2.4
1143,TKKM o Nga Mokopuna,11,9.52
1147,Te Rangi Aniwaniwa,15,13.9
1148,Nelson Christian Academy,9,7.32
1149,Sonrise Christian School,7,6.2
1151,TKK o Te Puaha o Waikato,1,1
1153,TKKM o Te Koutu,21,20.6
1154,TKKM o Te Rawhiti Roa,21,19.58
1156,Mahurangi Christian School,5,4.8
1164,Everglade School,25,24.1
1165,TKKM o Ruamata,15,13.4
1167,Wanaka Primary School,25,21.58
1168,Emmanuel Christian School,10,8.85
1169,Paeroa Christian School,4,3.5
1170,Whakatane S D A School,3,2.49
1172,Cornerstone Christian School,18,13.5
1174,Moriah College,3,2.5
1175,Kaikohe Christian School,17,15.8
1177,Te Huruhi School,21,19.8
1178,Tasman Bay Christian School,5,4.72
1179,Maranatha Christian School,10,8.56
1184,Belmont Christian Academy,3,2.5
1186,Matamata Christian School,7,5.9
1187,Rudolf Steiner School (Tauranga),12,8.5
1189,Wa Ora Montessori School,14,10.36
1190,Elim Christian College,50,40.54
1192,Dunedin Rudolf Steiner School,6,4
1194,Red Beach School,52,44.1
1195,Adventure School,22,19.4
1200,Ahuroa School,3,3
1201,Aka Aka School,4,4
1202,Albany School,38,30.46
1203,Alfriston School,20,18.4
1204,Anchorage Park School,10,8.54
1206,Arahoe School,48,42.94
1207,Ararimu School,6,5.8
1208,Ardmore School,21,17.1
1209,Arohanui Special School,37,36.2
1210,Northern Health School,47,38.5
1211,Auckland Normal Intermediate,40,37.9
1212,Avondale Intermediate,21,21
1213,Avondale Primary School (Auckland),22,23.6
1214,Awhitu District School,6,6
1215,Sir Douglas Bader Intermediate School,15,15
1216,Bailey Road School,30,27.32
1217,Sir Edmund Hillary Collegiate Middle Sch,16,15.98
1218,Bairds Mainfreight Primary School,23,20.54
1219,Balmoral School (Auckland),46,41.54
1220,Bayfield School,22,17.44
1221,Bayswater School,10,9.44
1222,Bayview School,20,18
1223,Beach Haven School,19,18.6
1224,Beachlands School,24,24
1225,Belmont Intermediate,30,29.2
1226,Belmont School (Auckland),18,17.12
1227,Birdwood School,15,14
1228,Birkdale Intermediate,26,25.4
1229,Birkdale North School,8,7.2
1230,Birkdale Primary School,25,21.9
1231,Birkenhead School,19,17.36
1232,Blockhouse Bay Intermediate,41,40.8
1233,Blockhouse Bay School,34,30.61
1234,Bombay School,24,18.56
1235,Botany Downs School,30,25
1236,Brookby School,8,7.2
1237,Browns Bay School,32,27.52
1238,Bruce McLaren Intermediate,22,20
1239,Buckland School,14,12.4
1240,Bucklands Beach Intermediate,41,40
1241,Bucklands Beach Primary School,19,18.4
1242,Campbells Bay School,38,35.46
1243,Chaucer School,11,10.4
1244,Chelsea School,20,18.4
1245,Christ the King Catholic School (Owairak,8,8
1246,Churchill Park School,27,23.74
1247,Clayton Park School,38,35.1
